date,scientist,rep,primary,secondary_dose,load_0hr,load_10hr,log(10hr),bin_primary,bin_alive3
6/28/2018,Frank,5,01_PBS,0.01,343.5,67120.19,4.826853,0,0
6/28/2018,Frank,5,01_PBS,0.1,3628,395389.8,5.597026,0,0
6/28/2018,Frank,5,01_PBS,1,19020.5,1843210,6.265575,0,0
6/28/2018,Frank,5,02_Sm,0.01,724,19892.89,4.298698,1,0
6/28/2018,Frank,5,02_Sm,0.1,2767.5,81170.41,4.909398,1,0
6/28/2018,Frank,5,02_Sm,1,16063.5,952166,5.978713,1,0
7/10/2018,Frank,8,01_PBS,1,20279,4674066,6.669695,0,0
7/10/2018,Frank,8,02_Sm,1,19579.5,39821.28,4.600115,1,0
8/2/2018,Frank,12,01_PBS,0.01,175.5,38303.79,4.583242,0,0
8/2/2018,Frank,12,01_PBS,0.1,1187.5,207195.9,5.316381,0,0
8/2/2018,Frank,12,01_PBS,1,9039,817227.4,5.912343,0,0
8/2/2018,Frank,12,02_Sm,0.01,789,7283.077,3.862315,1,0
8/2/2018,Frank,12,02_Sm,0.1,1281,129084.2,5.110873,1,0
8/2/2018,Frank,12,02_Sm,1,8493,448890.2,5.65214,1,0
8/6/2018,Frank,13,01_PBS,0.01,602,34671.89,4.539978,0,0
8/6/2018,Frank,13,01_PBS,0.1,2674.5,356523.6,5.552088,0,0
8/6/2018,Frank,13,01_PBS,1,19132,1947850,6.289556,0,0
8/6/2018,Frank,13,02_Sm,0.01,521,4098.459,3.612621,1,0
8/6/2018,Frank,13,02_Sm,0.1,2541,90878.13,4.958459,1,0
8/6/2018,Frank,13,02_Sm,1,19308,272147.3,5.434804,1,0
6/14/2019,Abby,I,01_PBS,0.01,640.2132,975.9559,2.98943,0,0
6/14/2019,Abby,I,01_PBS,0.1,1126.569,46472.57,4.667197,0,0
6/14/2019,Abby,I,01_PBS,1,1675.394,293197.1,5.46716,0,0
6/14/2019,Abby,I,01_PBS,2,3775.709,2605993,6.415973,0,0
6/14/2019,Abby,I,02_Sm,0.01,257.9349,1243.068,3.094495,1,0
6/14/2019,Abby,I,02_Sm,0.1,955.9098,5797.703,3.763256,1,1
6/14/2019,Abby,I,02_Sm,1,6523.842,5714.233,3.756958,1,1
6/14/2019,Abby,I,02_Sm,2,7812.488,4925.815,3.692478,1,0
6/17/2019,Abby,II,01_PBS,0.01,202.7326,22168.53,4.345737,0,0
6/17/2019,Abby,II,01_PBS,0.1,832.0118,84348.63,4.926078,0,0
6/17/2019,Abby,II,01_PBS,1,4793.677,1622938,6.210302,0,0
6/17/2019,Abby,II,01_PBS,2,6410.193,1358423,6.133035,0,0
6/17/2019,Abby,II,02_Sm,0.01,514.7697,2974.15,3.473363,1,0
6/17/2019,Abby,II,02_Sm,0.1,788.1195,24601.78,4.390967,1,1
6/17/2019,Abby,II,02_Sm,1,3642.738,524149.8,5.719455,1,0
6/17/2019,Abby,II,02_Sm,2,12438.11,284407.4,5.453941,1,0
6/19/2019,Abby,III,01_PBS,0.01,199.3612,4452.147,3.64857,0,0
6/19/2019,Abby,III,01_PBS,0.1,360.7861,60541.68,4.782054,0,0
6/19/2019,Abby,III,01_PBS,1,4908.402,240312.7,5.380777,0,0
6/19/2019,Abby,III,01_PBS,2,10573.6,690214,5.838984,0,0
6/19/2019,Abby,III,02_Sm,0.01,412.5454,933.5082,2.970118,1,0
6/19/2019,Abby,III,02_Sm,0.1,3616.958,2698.836,3.431177,1,0
6/19/2019,Abby,III,02_Sm,1,6926.868,273653.1,5.4372,1,0
6/19/2019,Abby,III,02_Sm,2,7833.673,232061.2,5.365602,1,0
6/25/2019,Abby,IV,01_PBS,0.01,1187.806,8201.486,3.913893,0,0
6/25/2019,Abby,IV,01_PBS,0.1,1403.3,107895.6,5.033004,0,0
6/25/2019,Abby,IV,01_PBS,1,5572.95,2199119,6.342249,0,0
6/25/2019,Abby,IV,01_PBS,2,8579.952,2214793,6.345333,0,0
6/25/2019,Abby,IV,02_Sm,0.01,3374.107,1374.002,3.137987,1,1
6/25/2019,Abby,IV,02_Sm,0.1,1916.626,174.8434,2.242649,1,1
6/25/2019,Abby,IV,02_Sm,1,9906.634,47202.71,4.673967,1,0
6/25/2019,Abby,IV,02_Sm,2,12554.01,307239,5.487476,1,1
6/27/2019,Abby,V,01_PBS,0.01,84.82032,7655.157,3.883954,0,0
6/27/2019,Abby,V,01_PBS,0.1,690.498,211303.6,5.324907,0,1
6/27/2019,Abby,V,01_PBS,1,3615.709,954012.4,5.979554,0,0
6/27/2019,Abby,V,01_PBS,2,14430.5,1103906,6.042932,0,0
6/27/2019,Abby,V,02_Sm,0.01,84.33288,54.40729,1.735657,1,0
6/27/2019,Abby,V,02_Sm,0.1,568.1669,3764.904,3.575754,1,0
6/27/2019,Abby,V,02_Sm,1,6198.966,2482.907,3.39496,1,0
6/27/2019,Abby,V,02_Sm,2,18253.73,2395.651,3.379424,1,0
